,images,captions
4194,3139895886_5a6d495b13,"['<START> كلب ابيض و اسود يقفز فوق عشب اصفر عالي <END>', '<START> كلب يمر عبر عشب جاف <END>', '<START> كلب اسود و ابيض يجري عبر حقل <END>']"
4166,3133825703_359a0c414d,"['<START> طفل يحدق في بابا نويل <END>', '<START> اب و ابنه ينظران الي بابا نويل مضحك شكل <END>', '<START> ينظر طفل الي بابا نويل <END>']"
1928,244910177_7c4ec3f65b,"['<START> ثلاث نساء يمشون في احد شوارع مدينه <END>', '<START> نساء تسير علي رصيف مزدحم <END>', '<START> نساء يمشون في شارع <END>']"
1061,2127207912_9298824e66,"['<START> ثلاثه اشخاص يشقون طريقهم عبر تضاريس صخريه <END>', '<START> ثلاثه اشخاص يشاركون في تسلق صخور <END>', '<START> يقف شخصان يرتديان حقائب ظهر و امراه ترتدي شورت احمر علي بعض صخور كبيره <END>']"
736,1810651611_35aae644fb,"['<START> لقطه مقربه لفتاه صغيره علي ارجوحه <END>', '<START> فتاه صغيره تتارجح في فناء خلفي <END>', '<START> طفله تتارجح في فناء خلفي <END>']"
1383,2271468944_3264d29208,"['<START> صبي يصب ماء علي صبي اخر <END>', '<START> اولاد صغار يرمون ماء علي طفل <END>', '<START> صبي يصب ماء علي طفل <END>']"
742,1813777902_07d1d4b00c,"['<START> طفل يرتدي زي قراصنه يبتسم <END>', '<START> صبي صغير يرتدي زي قراصنه ويهرب <END>', '<START> اولاد يرتدي زي قراصنه <END>']"
503,146577646_9e64b8c2dc,"['<START> رجل يتجول في منحدرات مياه بيضاء <END>', '<START> رجل يقود قارب في مياه خام <END>', '<START> رجل في قوارب كاياك يسبح في مياه خام <END>']"
233,127490019_7c5c08cb11,"['<START> فتاه تستعد لدخول نادي <END>', '<START> امراه في نادي غولف <END>', '<START> امراه ترتدي ازرق تبدا لعبه غولف <END>']"
5681,3443703471_14845d8850,"['<START> كلب يقفز فوق حاجز <END>', '<START> كلب يقفز فوق سياج <END>', '<START> كلب يقفز فوق سياج خشبي كما اخر علي وشك <END>']"
6821,3676561090_9828a9f6d0,"['<START> كلب ابيض صغير يدور فوق عشب <END>', '<START> كلب اسمر يلف علي عشب <END>', '<START> كلب رمادي يتدحرج علي ظهره علي عشب <END>']"
6993,3715559023_70c41b31c7,"['<START> شخص يجلس علي صخره علي حافه شلال كبير <END>', '<START> شخص يجلس علي صخره <END>', '<START> امراه تجلس علي صخره بجوار شلال كبير <END>']"
7355,458213442_12c59e61a0,"['<START> كلب يقفز فوق عقبه في حقل عشبي <END>', '<START> كلب يقفز فوق شريط علي مسار عقبه <END>', '<START> كلب ابيض و اسود يقفزان فوق عقبه <END>']"
4568,3220161734_77f42734b9,"['<START> طفل ذو شعر اشقر يرتدي زي اسود و حزام احمر يمارس كاراتيه <END>', '<START> طفل مع وشاح احمر يمارس فنون دفاع عن نفس <END>', '<START> صبي صغير يرتدي زي اسود مع وشاح احمر يشارك في معرض لفنون دفاع عن نفس <END>']"
5874,3483140026_e14f64fdf5,"['<START> رجل يرتدي ستره برتقاليه و قبعه بيضاء يبدو بعيدا عن كاميرا <END>', '<START> رجل يرتدي ستره صلبه برتقاليه تقف امام سلم احمر <END>', '<START> شخص في خوذه بيضاء يقف بجانب سلم <END>']"
2404,2603125422_659391f961,"['<START> سياره متوقفه في شارع مليء بالكتابه علي جدران <END>', '<START> يقف بعض كبار علي حائط مغطي بالكتابات فنيه في ليل <END>', '<START> شخصان يتحدثان الي شخص في شارع امام رسوم علي جدران <END>']"
5411,3396036947_0af6c3aab7,"['<START> صبي علي ارجوحه <END>', '<START> صبي صغير يتارجح علي ارجوحه بجانب بعض اشجار و نهر <END>', '<START> طفل صغير يتارجح عاليا جدا <END>']"
2877,2762702644_2aa3bf9680,"['<START> امراه ترتدي اسود والاحمر تعزف كمان امام مبني من قرميد <END>', '<START> امراه ترتدي لون احمر تعزف كمان علي رصيف <END>', '<START> فتاه باللونين احمر والاسود تحمل كمانا وقوسا <END>']"
2523,2644916196_16f91dae54,"['<START> طفل مع كوب اصفر و وجه ملطخ بالحليب <END>', '<START> قام صبي صغير بسكب حليبه من كاس اخضر <END>', '<START> حليب حول فم طفل صغير <END>']"
3050,2832487464_2d30634e1e,"['<START> كلب ابيض واسود يقفز فوق عقبه <END>', '<START> كلب يقفز فوق سلسله من بوابات ملونه <END>', '<START> كلب اسود صغير يقفز فوق بوابات <END>']"
3260,2886411666_72d8b12ce4,"['<START> كلب اسود و بني و ابيض يركض بجانب سور اخضر في حديقه عشبيه <END>', '<START> كلب يمر عبر حديقه خضراء مورقه <END>', '<START> كلب يمر عبر عشب في منطقه مسيجه <END>']"
5302,3367053761_8ec5834bf3,"['<START> يجلس ناس علي مقاعد في مكتبه <END>', '<START> شخص يجلس علي مقعد في مكتبه <END>', '<START> شخصان يجلسان علي مقاعد قرب نوافذ في مكتبه <END>']"
2771,2723477522_d89f5ac62b,"['<START> كلب كبير يطارد كلبا صغيرا علي عشب <END>', '<START> كلب اسود يطارد كلبا بنيا اصغر علي عشب <END>', '<START> كلبان بنيان يركضان علي عشب معا <END>']"
4148,3128514681_a51b415c31,"['<START> سيدتان ترتديان فساتين تقفان علي جانب طريق لاخذ صوره في ليل <END>', '<START> امراتان ترتديان فساتين تقفان لاخذ صوره في احد شوارع <END>', '<START> امراتان علي جانب طريق <END>']"
4128,312427606_defa0dfaa8,"['<START> فتاه ذات شعر اشقر تاكل خوخ <END>', '<START> فتاه تاكل خوخ <END>', '<START> فتاه شابه ذات شعر اشقر تاكل خوخ <END>']"
