,images,captions
3485,2945036454_280fa5b29f,"['<START> كلب يقفز في هواء في محاوله للقبض علي صحن طائر احمر <END>', '<START> يقفز كلب للقبض علي صحن طائر برتقالي <END>', '<START> كلب رمادي يلعب بالصحن طائر في فناء <END>']"
2474,2629295654_59ea1472a1,"['<START> كلب بني يركض علي عشب <END>', '<START> كلب بني يركض عبر عشب <END>', '<START> كلب بني يركض في عشب <END>']"
5238,3354489242_dd529ffa1f,"['<START> يحاول حارس مرمي منع كره في لعبه هوكي <END>', '<START> ناس يلعبون هوكي <END>', '<START> يتنافس فريقان للهوكي <END>']"
3873,3061481868_d1e00b1f2e,"['<START> شخصان علي دراجه ناريه سوداء يقودان بسرعه كبيره <END>', '<START> شخصان علي دراجه ناريه <END>', '<START> شخصان يركبان معا علي دراجه ناريه <END>']"
1198,2198494923_8159551be4,"['<START> فتاه تسقط في ثلج بينما تنظر اخري <END>', '<START> فتاه في قميص بنفسجي مغطاه بالثلج تنزلق علي تله ثلجيه <END>', '<START> فتاه صغيره تنزلق علي ثلج <END>']"
4181,3137061312_eb5fdcf3fd,"['<START> قطار تحت ارض <END>', '<START> قطار يمشي علي سكه حديديه <END>', '<START> قطار في محطه <END>']"
1518,2315807231_6948b3f3a5,"['<START> كلب بني يجلس في كومه من ثلج <END>', '<START> يلعب كلب ذو شعر طويل بني في ثلج <END>', '<START> كلب بني يلعب في ثلج <END>']"
6705,3649307685_60c1294d2a,"['<START> يلعب رجلان في لعبه رياضيه معا <END>', '<START> رجلان يلعبان رياضه يقاتلان من اجل كره <END>', '<START> لاعبان يتصارعان من اجل كره في لعبه هوكي <END>']"
5477,3408274796_0dc62225e9,"['<START> كلب يقفز الي امام يحمل عصا كبيره <END>', '<START> يركض كلب في درب مع عصا في فمه <END>', '<START> كلب يركض بعصا كبيره في فمه <END>']"
1799,241347441_d3dd9b129f,"['<START> لاعب كره قدم في زي سونرز <END>', '<START> رجل يرتدي زي احمر لكره قدم يستعد للعب <END>', '<START> لاعب كره قدم يرتدي احمر ينظر الي ميدان <END>']"
1014,2102724238_3cf921d7bb,"['<START> ناس في ملابس داكنه يجلسون معا <END>', '<START> ثلاثه اشخاص يجلسون علي مقعد <END>', '<START> شخصان يرتديان اسود يجلسان علي مقعد وينظران الي اسفل <END>']"
128,113678030_87a6a6e42e,"['<START> يرتاح متزلج علي جبال <END>', '<START> متزلجون يجلسون في ثلج <END>', '<START> اثنين من متزلجين يقفان واثنين جالسين علي منحدرات <END>']"
