,0,1
0,2090545563_a4e66ec76b,"['<START> فتاتان تلعبان علي لوح تزلج في فناء <END>', '<START> شخصان يلعبان علي لوح تزلج طويل <END>', '<START> اثنين من اطفال صغار في قمصان حمراء يلعبون علي لوح تزلج <END>']"
1,3393035454_2d2370ffd4,"['<START> صبي يقفز من صخره <END>', '<START> صبي يقفز في حقل في غابه <END>', '<START> صبي صغير يقفز من صخره في غابه <END>']"
2,3695064885_a6922f06b2,"['<START> امراه ترشد كلبا بنيا حول مسار سباق <END>', '<START> امراه مع قبعه تقود كلب صغير ضمن مسار سباق <END>', '<START> تقود مراه كلبا من خلال مسار سباق <END>']"
3,1679557684_50a206e4a9,"['<START> كلب ينظر الي كلب اخر يصطاد كره في هواء <END>', '<START> كلب ابيض يراقب كلبا اسود في هواء <END>', '<START> اثنين من كلاب لعب مع كره تنس في فناء <END>']"
4,3582685410_05315a15b8,"['<START> تتسلق امراتان فوق صخور بالقرب من محيط <END>', '<START> تتسلق امراتان علي قمه صخور امام محيط <END>', '<START> اثنين نساء في ثوب سباحه علي صخور كبيره في محيط <END>']"
5,1579798212_d30844b4c5,"['<START> طفل يغني في غرفه نوم في حوض استحمام <END>', '<START> يتم وضع صبي صغير في حمام فقاعه <END>', '<START> طفل محاط بالفقاعات اثناء وجوده في حوض استحمام <END>']"
6,269650644_059a84ece5,"['<START> مجموعه من ناس تتزحلق علي جليد في مدينه كبيره <END>', '<START> حديقه للتزلج علي جليد في فصل شتاء مع عديد من ناس <END>', '<START> حلبه للتزلج علي جليد في هواء طلق مليئه بالناس <END>']"
7,2596619849_7b635dd310,"['<START> يلعب اربعه اطفال في حقل عشبي <END>', '<START> يلعب اربعه اطفال معا في خارج <END>', '<START> مجموعه من اطفال يلعبون في مناطق ريفيه <END>']"
8,2635164923_2a774f7854,"['<START> تزلج طفل صغير علي جدار خرساني صغير <END>', '<START> لوح تزلج صغير علي منحدر اسمنتي <END>', '<START> طفل صغير يرتدي خوذه زرقاء يركب لوح تزلج فوق منحدر <END>']"
9,3583321426_f373c52161,"['<START> امراه مسنه في شرق اوسط علي وشك ان تدخن علبه سجائر <END>', '<START> امراه في وشاح برتقالي تسحب علبه سجائر من كرتون <END>', '<START> امراه ترتدي فستانا اخضر طويلا واوشحه علي راسها تحمل علبه سجائر وينستون <END>']"
10,2735792721_b8fe85e803,"['<START> طفل مع رشاش ماء <END>', '<START> طفل ضاحك يحمل مسدسا مائيا ويرش بالماء <END>', '<START> هناك طفل يرش برشاش ماء <END>']"
11,3484841598_e26ee96aab,"['<START> ماسك يرتدي زي اسود علي ارض مع قفازته يرتفع خلال لعبه بيسبول في حين ان رجل امم متحده يرتدي زيا ابيضا يحتفظ بقدمه علي قاعده <END>', '<START> فريقان يلعبان لعبه بيسبول <END>', '<START> تلعب نساء كره لينه وينزلق ماسك الي قاعده <END>']"
12,2490687446_9d46fdf5a9,"['<START> كلب اسود ينفض ماء من علي جسده <END>', '<START> كلب ينتفض في ماء عكر <END>', '<START> كلب اسود في ماء ينفض ماء منه <END>']"
13,2987328689_96a2d814f1,"['<START> صبي يتخطي صخره في مجري مائي <END>', '<START> صبي يقذف صخره عبر نهر <END>', '<START> صبي يرتدي بنطالا من جينز ويقف علي صخور في نهر ويلقي حجرا <END>']"
14,2992614450_b5a6692239,"['<START> دراجه ترابيه في جو <END>', '<START> رجل علي دراجه ناريه في جو <END>', '<START> شخص ما علي دراجه ترابيه عاليه في هواء بالقرب من مبني <END>']"
15,2391812384_7429b5e567,"['<START> طفله ترتدي ملابس ارجوانيه وتلبس قبعه في ماء متناثر بينما يمشي رجل وصبي صغير في مكان قريب <END>', '<START> يلبس طفل يرتدي لون ارجواني ماء متراشق بينما ينظر اليه رجل احمر <END>', '<START> رش رجل وطفلين صغيرين اثناء مرورهما نافوره زخرفيه <END>']"
16,3665179773_dd217416fc,"['<START> فتاه تعانق فتاه اخري <END>', '<START> فتاه تعانق فتاه اخري بخوذه <END>', '<START> فتاتين تتعانقان <END>']"
17,3515904775_f8acc5909e,"['<START> كلب ابيض واسود يحمل كره برتقاليه تخرج من ماء <END>', '<START> يخرج كلب من ماء مع كره في فمه <END>', '<START> كلب يجلب كره برتقاليه في ماء <END>']"
18,3616808182_fb4eaec778,"['<START> راكب دراجات يركب دراجات اسفل مسار حاد <END>', '<START> ركوب دراجات علي جبال شديده انحدار <END>', '<START> رجل ذو قناع كامل علي وجهه يركب اسفل تله عشبيه <END>']"
19,3652150541_8fb5a3a5d1,"['<START> امراه تضع مكياج علي وجهها بينما يحمل طفل ذو حلاقه موهوك مراه <END>', '<START> امراه تضع مكياج <END>', '<START> امراه تضع مكياج علي وجهها بينما صبي ذو حلاقه موهوك يحمل مراتها <END>']"
20,3693961165_9d6c333d5b,"['<START> كلب اسود ينظر من خلال سياج <END>', '<START> كلب بني داكن يركض علي طول سياج في خارج <END>', '<START> كلب سلوقي بني يمشي علي عشب اخضر وينظر من خلال سياج <END>']"
21,2895700779_fac1d9d278,"['<START> فتاه ذات شعر احمر وحاجبين <END>', '<START> فتاه ذات شعر احمر والحاجبين حمر تظهر في منتصف دعايه <END>', '<START> امراه ذات شعر احمر مشرق وحاجبين حمر تتحدث الي شخص ما في خارج <END>']"
22,2474092890_6c0781a8ed,"['<START> شخص يجلس علي مقعد ويمسك صوره امام وجهه <END>', '<START> يغطي شخص وجهه بصحيفه لتجنب تصويره <END>', '<START> شخص يحمل صوره امام وجهه <END>']"
23,3420469425_2980b4cd30,"['<START> زوجان يحملان طفلهما في حفل بينما يقرا كاهن كتابه <END>', '<START> زوجان يبتعدان مع اولادهما ليعتمدوا من قبل كاهن <END>', '<START> كاهن يحمل كتابا يتطلع نحو امراه وطفلها <END>']"
24,537222436_ab406234ce,"['<START> امراه سوداء شعر في تنوره بيضاء واحذيه سوداء تحمل حقيبه حمراء وتسير في شارع <END>', '<START> امراه مرتديه تمشي علي طريق جانبي و ظهرها للكاميرا <END>', '<START> امراه مع تنوره بيضاء قصيره واحذيه سوداء وحقيبه حمراء تمشي بعيدا <END>']"
25,3419634480_c390f62a6e,"['<START> كلب اسود يركض عبر عشب اخضر <END>', '<START> كلب اسود يركض في عشب <END>', '<START> كلب اسود يركض في عشب لسانه يتدلي <END>']"
26,2659183350_730951f740,"['<START> صبي يركل لعبه بيسبول عملاقه بينما تراقب مجموعه من اطفال <END>', '<START> صبي يركل كره بيسبول كبيره <END>', '<START> طفل يركل كره كبيره بينما يحيط به اطفال اخرون <END>']"
27,1178705300_c224d9a4f1,"['<START> كلب بني يقفز في بركه خلف كره <END>', '<START> كلب يقفز في بركه فناء خلفي <END>', '<START> يقفز كلب في بركه في هواء طلق <END>']"
28,989851184_9ef368e520,"['<START> كلب اسود لديه دمبل في فمه <END>', '<START> كلب اسود لديه دمبل في فمه ينظر الي شخص ذي يرتدي لون ازرق <END>', '<START> كلب اسود يحمل وزنا في فمه يقف بجانب شخص <END>']"
29,535123126_c06c1ab9bf,"['<START> كلب بني مع طوق وردي مع قلب عليه يلعب مع كلب اكبر <END>', '<START> كلب كبير يحاول ان يعض كلبا صغيرا <END>', '<START> اثنين من كلاب بني يقاتلون بعضهم بعض <END>']"
30,3226541300_6c81711e8e,"['<START> رجلان في احمر يتقاتلان <END>', '<START> اثنين من رجال يرتدون عباءات حمراء يؤدون فنون دفاع عن نفس <END>', '<START> شخصان يرتديان لون وردي <END>']"
31,3457784061_8f77f43a9c,"['<START> رجل يجلس مع كره بولينج حمراء <END>', '<START> رجل يستعد لرمي كره بولينج في زقاق بولينغ <END>', '<START> شاب علي وشك رمي كره بولينغ حمراء اسفل ممر <END>']"
32,3364715316_df8c20bac1,"['<START> شخصان يلعبان علي شاطئ <END>', '<START> تلعب امراتان لعبه كره مضرب علي شاطئ <END>', '<START> تلعب سيدتان في ملابس سباحه علي شاطئ <END>']"
33,233361142_d9d5f0cae9,"['<START> كلب اسود و بني يقفز علي كاميرا <END>', '<START> كلب بني يركض من خلال عشب طويل <END>', '<START> كلب اسود والابيض يمر عبر شجيرات <END>']"
34,634891010_9fa189effb,"['<START> كلب ابيض واسود يقفز من ماء وكلب بني يهتز <END>', '<START> يقف كلب اسمر وكلب ابيض واسود بجانب حفره في تراب <END>', '<START> كلبان يهزان ماء <END>']"
35,2977379863_2e8d7a104e,"['<START> فتاه شقراء ترتدي قبعه سوداء تقف مع اطفال اخرين في غرفه ازياء <END>', '<START> فتاه ترتدي قبعه سوداء مع مجموعه من اطفال اخرين <END>', '<START> اطفال في ازياء يقفون في طابور <END>']"
36,3663951804_868982f3f9,"['<START> طفل يقوم بقفزه علي لوح تزلج <END>', '<START> متزلج يقوم بقفزه <END>', '<START> يمارس متزلج قفزه في حديقه تزلج <END>']"
37,3170802797_3c851bb475,"['<START> رجل يرتدي ستره خضراء وقبعه يتزلج علي جليد <END>', '<START> شخص في معطف اخضر يتزلج علي جليد <END>', '<START> يقفز متزلج علي ثلج <END>']"
38,2409597310_958f5d8aff,"['<START> طفلين يركبان في عربه لعبه <END>', '<START> صبيان صغيران يركبان في شاحنه لعبه <END>', '<START> اثنين من اولاد يجلسون في سياره لعبه علي عشب <END>']"
39,2384550175_e421d3a871,"['<START> يلعب اطفال علي اراجيح في حديقه <END>', '<START> اطفال يلعبون علي ارجوحه في حديقه <END>', '<START> سبعه اطفال يلعبون علي اراجيح في حديقه <END>']"
40,2786245676_0a69543832,"['<START> صبي صغير يرتدي قميصا ازرق فاتحا يبتسم بينما يحمل شيئا في يده <END>', '<START> صبي صغير يبتسم ويحمل شيء في يده <END>', '<START> شاب يرتدي قميصا ازرق لون يقف امام اريكه مزهره بالازهار <END>']"
41,3346918203_986dca6641,"['<START> شخص يركب دراجته علي درب بجوار غابه <END>', '<START> امراه تركب دراجتها فوق تل بالقرب من غابه <END>', '<START> امراه ترتدي ستره زرقاء وهي تركب دراجه هوائيه علي طريق غابات <END>']"
42,2597958208_e03aa149c9,"['<START> صبي صغير وفتاه صغيره يلعبان معا في خارج <END>', '<START> طفله وفتي صغير يلعبان صحن طائر معا في منطقه عشبيه <END>', '<START> صبي وفتاه يلعبان <END>']"
43,3710520638_866d542a80,"['<START> كلب اسود يقفز في بحيره <END>', '<START> كلب اسود مع طوق احمر يقفز في ماء <END>', '<START> كلب اسود مع طوق احمر يقفز من ماء <END>']"
44,3435015880_eda46ff50f,"['<START> رجل وفتاه يقفزان في هواء <END>', '<START> رجل وامراه يركضان ويقفان فوق احد تلال <END>', '<START> شخصان يركضان في قمه جبل <END>']"
45,391324644_d23fdf06cb,"['<START> رجل علي زلاجات مضمنه مع قبعه بيضاء علي سكك حديديه صفراء <END>', '<START> متزلج علي دربزون اصفر في ليل <END>', '<START> متزلج يفعل خدعه علي درابزين اصفر <END>']"
46,2381613738_d8d2012e3c,"['<START> طفل يركب ارجوحه اطارات <END>', '<START> طفل اشقر شعر يتارجح في ارجوحه اطارات <END>', '<START> صبي صغير يتارجح بسرعه في ارجوحه اطارات <END>']"
47,411175971_0fffd3b8c6,"['<START> كلب يلعب بسعاده في فيضان مد والجزر في يوم غائم <END>', '<START> كلب يلعب في ماء علي شاطئ <END>', '<START> كلب يمر عبر ماء بعصا في فمه <END>']"
48,2475300106_b8563111ba,"['<START> كلب بني يمر عبر منطقه مشجره <END>', '<START> كلب يمر عبر فناء <END>', '<START> كلب اصفر يجري بجانب ادغال علي طريق في عشب <END>']"
