,0,1
0,2513260012_03d33305cf,"['<START> كلب اسود يركض خلف كلب ابيض في ثلج <END>', '<START> اثنين من كلاب يطاردان بعضهما بعض عبر ارض ثلجيه <END>', '<START> اثنين من كلاب تلعب معا في ثلج <END>']"
1,2903617548_d3e38d7f88,"['<START> طفل صغير يلعب كركيه <END>', '<START> طفله صغيره تلعب كركيه بجانب شاحنه <END>', '<START> طفل هو امام سياره ويضع كره <END>']"
2,3338291921_fe7ae0c8f8,"['<START> كلب بني في ثلج لديه شيء وردي في فمه <END>', '<START> كلب بني في ثلج يحمل قبعه ورديه <END>', '<START> كلب بني يحمل قميصا ورديا في ثلج <END>']"
3,488416045_1c6d903fe0,"['<START> كلب بني يعمل علي طول شاطئ <END>', '<START> كلب بني يرتدي طوقا اسود يعمل عبر شاطئ <END>', '<START> كلب يمشي علي رمال بالقرب من ماء <END>']"
4,2644326817_8f45080b87,"['<START> كلب ابيض واسود مع صحن طائر احمر يقف علي شاطئ رملي <END>', '<START> كلب يسقط قرصا احمر علي شاطئ <END>', '<START> كلب مع صحن طائر احمر يطير في هواء <END>']"
5,218342358_1755a9cce1,"['<START> راكب يرتدي خوذه حمراء يقود علي رصيف <END>', '<START> فتاه تركب دراجه في شارع وهي ترتدي خوذه حمراء <END>', '<START> امراه ترتدي خوذه حمراء وقميصا ازرق بينما تذهب لركوب دراجه في ظل <END>']"
6,2501968935_02f2cd8079,"['<START> رجل يلبس قميصا ارجوانيا ومنديل احمر يبتسم للاشخاص ذين يشاهدونه <END>', '<START> رجل يرتدي قميصا ارجورانيا وبنطالا من جلد اسود يقف امام كاميرا <END>', '<START> رجل يرتدي بنطالا جلديا وقميصا ارجوانيا يقف امام متفرجين <END>']"
7,2699342860_5288e203ea,"['<START> صبي يرتدي قميصا احمر لون يركض عبر غابات <END>', '<START> يركض طفل بالقرب من بعض اشجار <END>', '<START> صبي صغير يرقص <END>']"
8,2638369467_8fc251595b,"['<START> فتاه في ثوب ابيض <END>', '<START> فتاه شابه بيضاء تنظر الي كاميرا وهي تلعب <END>', '<START> فتاه تحمل كره خضراء <END>']"
9,2926786902_815a99a154,"['<START> متزحلق في ستره صفراء يطير فوق جبال <END>', '<START> متسلق يقفز عاليا في هواء مع منظر للجبال <END>', '<START> متزحلق ذو ستره خضراء والسروال ابيض يطير في سماء <END>']"
10,2851304910_b5721199bc,"['<START> مصور ينظر فوق تلال <END>', '<START> امراه في ستره حمراء تصور مشهد طبيعي <END>', '<START> امراه مع كاميرا تطل علي تلال <END>']"
11,3423802527_94bd2b23b0,"['<START> مجموعه من فتيات في ملابس مشجع <END>', '<START> مجموعه كبيره من مشجعين يسيرون في موكب <END>', '<START> اداء مشجعين <END>']"
12,3356369156_074750c6cc,"['<START> يطفو قارب ازرق مع مظله صفراء في مياه هادئه <END>', '<START> قارب في ماء <END>', '<START> قارب في وسط ماء <END>']"
13,2294598473_40637b5c04,"['<START> كلب يلتقط صحن طائر <END>', '<START> كلب ابيض واسود يلتقط صحن طائر <END>', '<START> كلب ابيض يقفز في هواء مع جسم اخضر في فمه <END>']"
14,1191338263_a4fa073154,"['<START> سيده تجلس بجوار اعلان <END>', '<START> امراه عجوز تجلس في محطه عبور بجانب اعلان مضاء <END>', '<START> امراه تجلس في محطه مترو انفاق <END>']"
15,2380765956_6313d8cae3,"['<START> فتاه في معطف اخضر تسير في طريق ريفي تلعب فلوت <END>', '<START> فتاه شابه في بركه تلعب دور فلوت اثناء سير في ملعب مسيجه <END>', '<START> فتاه تلعب فلوت وهي تمشي بجانب سور في منطقه ريفيه <END>']"
16,3197891333_b1b0fd1702,"['<START> عائله مكونه من تسعه اشخاص بينهم اربعه اطفال تقف امام مدفاه من طوب مع غطاء ابيض <END>', '<START> عائله يقف امام موقد وشجره ميلاد <END>', '<START> عائله سعيده تستعد لاخذ صوره بجانب موقد <END>']"
17,3119887967_271a097464,"['<START> رجل في ستره يشير الي كاميرا <END>', '<START> رجل ذو قبعه سوداء يقف خلف رجل ذي يشير باصبعه <END>', '<START> رجلان بنظران الي كاميرا بينما يشير شخص امامي باصبعه سبابه <END>']"
18,2276499757_b44dc6f8ce,"['<START> كلب بني كبير ينظر الي كلب اسود متوسط حجم <END>', '<START> كلب اسود صغير ينظر الي كلب اسمر اكبر في حقل عشبي <END>', '<START> هناك كلب كبير ينظر الي كلب صغير <END>']"
19,2506892928_7e79bec613,"['<START> ثلاثه اطفال في حقل ذو زهور بيضاء <END>', '<START> ثلاثه اطفال يلعبون في حديقه <END>', '<START> ثلاثه اطفال يقفون بين زهور بريه <END>']"
20,2187222896_c206d63396,"['<START> صبي في قميص احمر امام جدار ازرق طويل يرفع حاجبه علي كاميرا <END>', '<START> صبي في قميص برتقالي ينظر الي وراء <END>', '<START> صبي في قميص احمر بجوار جدار ازرق <END>']"
21,2826769554_85c90864c9,"['<START> يحمل كلب اسمر عصا مبلله علي شاطئ محيط <END>', '<START> يحمل كلب رطب اشقر عصا علي شاطئ <END>', '<START> يركض كلب علي طول شاطئ بجوار محيط بعصا في فمه <END>']"
22,3097196395_ec06075389,"['<START> كلبين يتسابقان علع مدمار سباق <END>', '<START> اثنين من كلاب سلوقيه يتسابقان <END>', '<START> كلابي سباق اثنين يدوران حول مسار <END>']"
23,3603116579_4a28a932e2,"['<START> لاعب بيسبول في قميص اسود وبرتقالي ومع قفاز ينقل كره <END>', '<START> يحاول رجل يرتدي زي رياضي لحاق بالبيسبول <END>', '<START> رجل يلعب بيسبول <END>']"
24,3339263085_6db9fd0981,"['<START> يخرج كلب بني عبر ماء ويمشي نحو صخره <END>', '<START> كلب بني صغير علي وشك خروج من ماء بعد سباحه <END>', '<START> كلب اصفر في مياه ضحله <END>']"
25,2532262109_87429a2cae,"['<START> يقف مجموعه من ناس خارجا بينما ياخذ مرء صوره <END>', '<START> مجموعه من شابات يقفن معا <END>', '<START> فتيات في زي مدرسي <END>']"
26,2076906555_c20dc082db,"['<START> صبي يرتدي ستره جان ويده علي صدره وهو يبتسم امام كاميرا <END>', '<START> يقف صبي يكتب علي يده في متجر <END>', '<START> شاب في ستره جان يبتسم للكاميرا داخل متجر <END>']"
27,2502007071_82a8c639cf,"['<START> مجموعه من ناس امام منزل <END>', '<START> امراه في نظارات شمسيه وقميص ازرق مزهر تقف بينما صبي ورجل يجلسان في مكان قريب <END>', '<START> امراه ترتدي نظاره شمسيه وقميصا مزهرا تنظر الي يسار <END>']"
28,3113769557_9edbb8275c,"['<START> امراه تقف و ذراعيها الي جانبيها بينما اخري تاخذ صوره <END>', '<START> امراه تقف و ذراعيها موضوعه علي متجر بينما امراه اخري تحمل كاميرا <END>', '<START> تقوم امراه بالتقاط صوره بينما تقف امراه اخري في وضعيه جانبيه و ذراعيها في خارج <END>']"
29,3325974730_3ee192e4ff,"['<START> يقفز احد متزلجين علي ثلج في هواء من منحدر ثلجي <END>', '<START> يقفز احد متزلجين علي منحدر <END>', '<START> رجل علي جليد يقوم بخدعه عاليه في هواء <END>']"
30,1655781989_b15ab4cbff,"['<START> مجموعه من متسلقي جبال <END>', '<START> ناس يسيرون عبر حقل مغطي بالثلج مع جبل في خلفيه <END>', '<START> ناس ذين يواجهون جبال في ثلج <END>']"
31,1662261486_db967930de,"['<START> كلب ابيض واسود قفز من خلال طاره سوداء وبيضاء <END>', '<START> كلب ابيض واسود يقفز من خلال طاره سوداء وبيضاء <END>', '<START> كلب يقفز من خلال حلقه <END>']"
32,2410562803_56ec09f41c,"['<START> ثلاثه اشخاص يجلسون بالقرب من شارع <END>', '<START> ثلاثه اشخاص يجلسون امام متجر علي مقعد <END>', '<START> يجلس ثلاثه شبان في خارج ويعملون بالاجهزه الكترونيه <END>']"
33,2469498117_b4543e1460,"['<START> كلب يسابق بينما يرتدي رقم <END>', '<START> كلب سلوقي كمامه قيد تشغيل علي مسار <END>', '<START> يسير سلوقي و يرتدي قميصا ذهبيا مع رقم عليه في مسار <END>']"
34,69710415_5c2bfb1058,"['<START> مجموعه من ناس تقف علي حافه جرف فوق محيط <END>', '<START> ثلاثه رجال يقفون علي جرف يطل علي بحيره <END>', '<START> ثلاثه كشافين علي قمه جرف يطل علي محيط <END>']"
35,3414734842_beb543f400,"['<START> زوجان يمسكان بايدي وامراه اخري يسيران في درب مشجر <END>', '<START> ثلاثه اصدقاء في نزهه في غابه <END>', '<START> ثلاثه اشخاص يقفون علي طريق عبر غابه <END>']"
36,3006217970_90b42e6b27,"['<START> يقود سياره سباق علي طول مسار في مطر <END>', '<START> تسير سياره سباق حول مسار رطب مع مصابيح اماميه مضاءه <END>', '<START> سياره سباق صغيره مع اعلانات تسير علي مسار ممطر <END>']"
37,2192411521_9c7e488c5e,"['<START> رجل ملتح يرتدي منديل يشير باصبعه وهو يركب دراجه هوائيه <END>', '<START> رجل يركب دراجه في شارع ويشير باصبعه <END>', '<START> رجل يحمل شيئا بيده اثناء ركوب دراجته في شارع <END>']"
38,3535879138_9281dc83d5,"['<START> حشد من ناس يلوحون بالاعلام حمراء يمرون تحت جسر <END>', '<START> مجموعه من ناس يسيرون في شارع حاملين اعلام حمراء <END>', '<START> مجموعه كبيره من ناس يسيرون في احد شوارع بعضهم يحمل اعلام او لافتات <END>']"
39,2685788323_ceab14534a,"['<START> رجل يرتدي نظاره شمسيه يقف بجانب طاوله في مقهي <END>', '<START> رجل علي وشك سحب كرسي والجلوس في مطعم <END>', '<START> رجل في مطعم يستعد للجلوس <END>']"
40,3465606652_f380a38050,"['<START> صبي يحمل مضربا يقف في عشب <END>', '<START> يقف صبي يرتدي قميصا ارجوانيا وبنطلون جينز ازرق في عشب حاملا لعبه مستديره بمقبض <END>', '<START> صبي يلعب مع مضرب بلا قيود في فناءه خلفي <END>']"
41,2599131872_65789d86d5,"['<START> فتاتان شقراوتان تلعبان معا <END>', '<START> فتاتين بشعر طويل تقفزان علي نطاطه <END>', '<START> فتاتان شقراوتان تبرمان شعرهما <END>']"
42,2244613488_4d1f9edb33,"['<START> يمر اربعه راكبي دراجات بميناء كهرباء <END>', '<START> يقود راكبو دراجات اربعه دراجاتهم في صحراء <END>', '<START> ثلاثه سائقي دراجات يقودون عبر اراضي جافه <END>']"
43,2738077433_10e6264b6f,"['<START> كلب يصعد تل <END>', '<START> كلب بني فاتح يجري <END>', '<START> كلب خفيف يتسلق جدار من اوساخ <END>']"
44,3537201804_ce07aff237,"['<START> طفل يدور علي دوامه <END>', '<START> يلعب اطفال في جوله مرح بينما يجلس كبار علي مقاعد <END>', '<START> يلعب اطفال في دوامه لعب حيث ينظر بالغون الي مقاعد <END>']"
45,1597557856_30640e0b43,"['<START> كلب بني يقفز علي امراه ترتدي تنوره بنيه لون <END>', '<START> كلب اصفر يقفز لتحيه امراه <END>', '<START> كلب واحد يقفز علي سيده بينما اخر يمشي بعيدا <END>']"
46,3357194782_c261bb6cbf,"['<START> رجل في ممر للحافلات ينظر الي امام <END>', '<START> رجل يقف علي باب سياره بينما اخر يجلس ينظر الي نافذه <END>', '<START> ناس يركبون حافله او عربه <END>']"
47,3682038869_585075b5ff,"['<START> فتاه صغيره تطل من وراء شجره <END>', '<START> فتاه صغيره مختبئه وراء شجره في غابه <END>', '<START> فتاه صغيره تطل من وراء شجره في منطقه مشجره <END>']"
48,236474697_0c73dd5d8b,"['<START> مجموعه من ناس يحملون مشروبات ويشيرون الي كاميرا <END>', '<START> مجموعه من ناس يحملون مشروبات ويشيرون الي كاميرا <END>', '<START> مجموعه من شباب يحملون زجاجات ويشيرون الي كاميرا <END>']"
49,2641288004_30ce961211,"['<START> كلب يقفز مع كره في فمه <END>', '<START> كلب يقفز علي سرير ويمسك باللعبه ذات لون اخضر <END>', '<START> كلب ابيض والاسود يقفز مع كره تنس في فمه <END>']"
50,267164457_2e8b4d30aa,"['<START> متسلق يمشي علي طول قمه ثلجيه <END>', '<START> رجل يتسلق صخور مغطاه بالثلوج علي شاطئ <END>', '<START> رجل يقف علي جبل مغطي بالثلوج <END>']"
51,2453891449_fedb277908,"['<START> كلب ابيض يطارد كلبا اسودا عبر عشب <END>', '<START> كلب ابيض يتبع كلب اسود من خلال منطقه عشبيه <END>', '<START> هناك كلبان اسود وابيض والكلب اسود يقفز <END>']"
52,281419391_522557ce27,"['<START> سياره سباق سوداء تدور اطاراتها بينما يخرج دخان <END>', '<START> سياره سباق سوداء تنطلق امام حشد من ناس <END>', '<START> سياره مكسوره خلال سباق <END>']"
53,354999632_915ea81e53,"['<START> كهف ثلجي مليء بالامتعه <END>', '<START> تكدس بعض حقائب ظهر في كهف جليدي مع شخص يرتدي ملابس سوداء في خلفيه <END>', '<START> هناك شيء مرئي من خلال ثقب في جدار <END>']"
54,3109136206_f7d201b368,"['<START> كلب بني يبدا بالسير في ماء <END>', '<START> كلب بني يخطو الي ماء موحل <END>', '<START> كلب يضع ساقيه في بركه <END>']"
55,2281054343_95d6d3b882,"['<START> رجل يرتدي قبعه سوداء يمشي في شارع مدينه مزدحم <END>', '<START> صوره ظليه لرجل في قبعه علي شارع مدينه مزدحم <END>', '<START> ثلاثه اشخاص في منطقه مزدحمه بالمدينه <END>']"
56,3296584432_bef3c965a3,"['<START> كلب بني يطارد شيئا رماه رجل خلفه علي شاطئ <END>', '<START> رجل وكلب علي شاطئ <END>', '<START> رجل يتفاعل مع كلب يركض في اتجاه معاكس <END>']"
57,3526431764_056d2c61dc,"['<START> امراه تلتقط صوره تقف بجانب رجل طويل قامه وامام رجل اخر يلتقط صوره ايضا <END>', '<START> ثلاثه اشخاص في خارج يلتقطون صور <END>', '<START> يقف ثلاثه اشخاص يحملون كاميرات علي درب ترابي مع عشب علي جانبه <END>']"
58,3549997413_01388dece0,"['<START> رجل يتزلج اسفل تله ثلجيه مع جبل كبير في خلفيه <END>', '<START> رجل يتزلج اسفل جبل مغطي بالثلج <END>', '<START> شخص يزحلق اسفل جبل ثلجي <END>']"
59,143688895_e837c3bc76,"['<START> متسلق يقف علي وجه صخره بجانب حبل وردي <END>', '<START> رجل يتسلق جرفا بحبل <END>', '<START> رجل يتسلق صخور منحدره <END>']"
60,2495394666_2ef6c37519,"['<START> كلب بني يقف في بحيره <END>', '<START> كلب يسبح في بركه <END>', '<START> كلب بني يسبح في ماء <END>']"
61,3384742888_85230c34d5,"['<START> كلب يلعب مع لعبه في عشب <END>', '<START> كلب اسود يلعب مع لعبه و يتدحرح علي عشب <END>', '<START> كلب يستريح بعد لعب <END>']"
62,1160034462_16b38174fe,"['<START> رجل مسن في قبعه من قش يجلس علي مقعد <END>', '<START> رجل مسن يجلس وحيدا علي مقعد حديقه <END>', '<START> رجل عجوز يرتدي قبعه من قش يجلس علي مقعد في حديقه <END>']"
63,334768700_51c439b9ee,"['<START> رجل ذو شعر داكن لون يرتدي قميصا احمر لون وله لحيه يلعب جيتار في حديقه <END>', '<START> رجل في قميص احمر يلعب غيتار في حديقه <END>', '<START> رجل يجلس ويلعب غيتار علي عشب <END>']"
64,412101267_7257e6d8c0,"['<START> اثنين من كلاب سوداء يقفزان للحصول علي كره تنس صفراء في ثلج <END>', '<START> كلبان يلعبان في ثلج <END>', '<START> اثنين من كلاب يلعبان مع كره في ثلج <END>']"
65,2623939135_0cd02ffa5d,"['<START> امراه ترتدي ثوبا ترفع ذراعيها فوق راسها <END>', '<START> امراه تنظر الي سقف بينما تقلع قبعتها <END>', '<START> امراه تنظر الي اعلي ويديها فوق راسها <END>']"
66,3043266735_904dda6ded,"['<START> امراه مسنه ترتدي قبعه ووشاح تبحث في كتاب بين يديها <END>', '<START> امراه مسنه ترتدي قبعه تقرا كتابا <END>', '<START> امراه في قبعه بيضاء تقرا كتابا <END>']"
67,3034585889_388d6ffcc0,"['<START> رجل علي دراجه ترابيه ينطلق بينما ينزلق اخر علي ارض و رجل ثالث يرتدي ستره صفراء ينظر عليه <END>', '<START> رجل يركب دراجه بخاريه <END>', '<START> شخص يركب دراجته ناريه وشخص اخر يرتدي ستره صفراء زاهيه يراقب شخصا يسقط من دراجته <END>']"
68,2069279767_fb32bfb2de,"['<START> رجال يتسلقون <END>', '<START> رجلان في سرير اطفال معلق من جرف <END>', '<START> اثنين من متسلقي جبال يبتسمون علي سفح جبل <END>']"
69,2593406865_ab98490c1f,"['<START> شاب يقلب لوح تزلج اثناء خدعه <END>', '<START> شاب متزلج يقوم بعمل حيل في هواء <END>', '<START> رجل يقوم بخدعه علي لوح تزلج بالقرب من متفرجين <END>']"
70,432167214_c17fcc1a2d,"['<START> رجل ذو لون داكن يحمل لافته احتجاج في شارع مزدحم في مدينه مع اشخاص يحدقون من خلف <END>', '<START> رجل يرتدي قبعه يحمل لافته مكتوبه عليها <END>', '<START> رجل يقف في شارع حاملا لافته <END>']"
71,305749904_54a612fd1a,"['<START> رجل يرتدي قميصا ازرقا مكتوب عليه كلمه مامبو <END>', '<START> رجل يرتدي قميصا يظهر طفلا يحمل دبا محشوا <END>', '<START> رجل يرتدي قميصا ازرق <END>']"
72,2780087302_6a77658cbf,"['<START> رجل يرتدي قميصا اسود يجلس علي كرسي بينما كان يحاول بيع حيوانات محنطه <END>', '<START> رجل يبيع العاب متنوعه في خارج <END>', '<START> رجل يجلس علي كرسي بجانب لعب <END>']"
73,3051998298_38da5746fa,"['<START> رجل يرتدي سروالا باللونين اصفر والازرق داكن يقفان في بركه <END>', '<START> رجل يمسك كره قدم في جو بينما يقفز في بركه <END>', '<START> ناس يغوصون في بركه سباحه <END>']"
74,1574401950_6bedc0d29b,"['<START> صبي يقفز من اعلي منزلقه بلاستيكيه زرقاء <END>', '<START> صبي صغير يقفز من اعلي منزلقه <END>', '<START> صبي صغير يقفز علي منزلق في فناء خلفي <END>']"
75,539493431_744eb1abaa,"['<START> رجل يلعب مع عصا نار في ضوء نهار <END>', '<START> رجل يلعب بالنار <END>', '<START> رجل يقف بالقرب من ملعب <END>']"
